Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Egg Fried Rice,Chicken Curry,Egg Fried Rice with Chicken Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk","100.0, 30.0, 10.0, 15.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLI005"
Egg Fried Rice,Wambatu Moju,Egg Fried Rice with Wambatu Moju,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, onion, tomato sause","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 20.0, 0.5, 5.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLD019, SLI017, , SLD082"
Egg Fried Rice,Chicken Curry,Egg Fried Rice with Chicken Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk","100.0, 30.0, 10.0, 15.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLI005"
Egg Fried Rice,Devilled Chicken,Egg Fried Rice with Devilled Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili,  Curry leaves, Onion","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 5.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK002"
Egg Fried Rice,Devilled Fish,Egg Fried Rice with Devilled Fish,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Chili,  Curry leaves, Onion","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 5.0, 5.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLF006, SLK002"
Egg Fried Rice,Ala Badun,Egg Fried Rice with Ala Badun,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Potato,  Oil, onion, chilli","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 40.0, 10.0, 30.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLB006, SLJ002"
Egg Fried Rice,Cashew Curry,Egg Fried Rice with Cashew Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Cashew,  Coconut milk,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLI004,  SLI005, SLK002"
Egg Fried Rice,Ginger Chicken,Egg Fried Rice with Ginger Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK012, SLK002"
Egg Fried Rice,Fish Cutlets,Egg Fried Rice with Fish Cutlets,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Potatoes,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 50.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLF034,  SLB006,  SLK002"
Egg Fried Rice,Vegetable Cutlets,Egg Fried Rice with Vegetable Cutlets,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Carrot,  Potatoes,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055,  SLB006,  SLK002"
